"File","LineNumber","Pattern","Text"
"D:\jsp\van_doc_1\c019\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C019Lsnr.java","122","outputFile","textFile.deleteFile(outputFilePath);"
"D:\jsp\van_doc_1\c019\src\main\java\com\bot\ncl\adapter\in\svc\C019_I.java","11","\.dat","import lombok.Data;"
"D:\jsp\van_doc_1\c021_rpt\src\main\java\com\bot\ncl\adapter\in\svc\C021_RPT_I.java","7","\.dat","import lombok.Data;"
"D:\jsp\van_doc_1\c059\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C059Lsnr.java","53","FILE_NAME","private static final String FILE_NAME = ""C009M""; // 檔名1"
"D:\jsp\van_doc_1\c059\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C059Lsnr.java","150","FILE_NAME","outputFilePath = fileDir + FILE_NAME;"
"D:\jsp\van_doc_1\c059\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C059Lsnr.java","46","outputFile","private String outputFilePath; // 產檔路徑"
"D:\jsp\van_doc_1\c059\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C059Lsnr.java","122","outputFile","textFile.writeFileContent(outputFilePath, fileC059Contents, CHARSET);"
"D:\jsp\van_doc_1\c059\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C059Lsnr.java","150","outputFile","outputFilePath = fileDir + FILE_NAME;"
"D:\jsp\van_doc_1\c059\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C059Lsnr.java","153","outputFile","textFile.deleteFile(outputFilePath);"
"D:\jsp\van_doc_1\c059\src\main\java\com\bot\ncl\adapter\in\svc\C059_I.java","7","\.dat","import lombok.Data;"
"D:\jsp\van_doc_1\c060\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C060Lsnr.java","59","FILE_NAME","private static final String FILE_NAME = ""CL-BH-C060"";"
